Id,Label,Interval,Modularity Class,Mitglieder_22,Mitglieder_23,Eingangsgrad,Ausgangsgrad,Grad,Betweenness Centrality
dierechteinfo,dierechteinfo,,0,2130,2256,15,32,47,463.3817122139737
freiesachsenmeissen,freiesachsenmeissen,,4,2564,2208,13,15,28,480.7082787923947
bloody32_official,bloody32_official,,2,2107,2153,5,10,15,16.170201492597666
liedermacherfylgien,liedermacherfylgien,,0,2027,1997,7,9,16,15.14165042996458
identitaereoesterreich,identitaereoesterreich,,5,2041,1930,4,0,4,0.0
jadeutschland,jadeutschland,,2,1759,1922,12,9,21,285.7705101461909
npdbundesverband,npdbundesverband,,0,1617,1917,17,20,37,212.35752588082036
zeitschrift_sezession,zeitschrift_sezession,,2,1080,1866,16,0,16,0.0
volksanwalt,volksanwalt,,2,1505,1864,19,6,25,148.63012260264915
frankkraemer,frankkraemer,,0,1900,1835,6,6,12,5.992856299718953
flakdieband,flakdieband,,0,1903,1820,6,26,32,34.245677835878126
frontmusik,frontmusik,,0,1815,1775,8,36,44,65.37899753620289
werra_elbflorenz,werra_elbflorenz,,0,1161,1775,14,1,15,0.0
phalanxeuropa,phalanxeuropa,,5,1793,1756,8,4,12,15.32599206349206
siegfrieddaebritz,siegfrieddaebritz,,2,1742,1734,9,20,29,120.949477894644
blklgnwear,blklgnwear,,0,1533,1728,13,7,20,10.926048198796359
archivwahrheit,archivwahrheit,,1,0,1626,2,1,3,0.0
endstufeoffiziell,endstufeoffiziell,,2,915,1613,2,0,2,0.0
ansgararyan,ansgararyan,,0,1520,1596,4,2,6,0.0
deutscheswarenhaus,deutscheswarenhaus,,0,1361,1492,7,4,11,0.0
zukunft_heimat,zukunft_heimat,,2,1439,1471,16,7,23,232.17416834304018
agjugend,agjugend,,3,865,1434,16,8,24,434.21226010813433
frankfranz,frankfranz,,0,1070,1371,18,13,31,129.13494785730998
germaniaversand,germaniaversand,,0,1240,1352,16,16,32,94.64463202791696
inbewegung2020,inbewegung2020,,0,1530,1320,21,1,22,0.0
nikolai_nerling,nikolai_nerling,,1,990,1270,1,0,1,0.0
kzshs,kzshs,,0,1037,1262,7,24,31,241.26148366651515
revolte_rheinland,revolte_rheinland,,5,436,1256,13,0,13,0.0
agkoerperundgeist,agkoerperundgeist,,3,0,1255,16,5,21,218.91149712407923
heureka_musik,heureka_musik,,0,0,1238,14,12,26,250.6555197374241
heilige_jugend,heilige_jugend,,0,1071,1224,7,3,10,1.9592114011402328
vinyl4u,vinyl4u,,0,1082,1192,6,3,9,85.5
blickpunkttv,blickpunkttv,,0,1002,1163,21,1,22,4.1022569478451825
derdrittewegvogtland,derdrittewegvogtland,,3,1192,1128,10,5,15,293.45461425036547
